user_id,home_region,diet,health_profile,spice_pref,age_band,n_interactions
0,Pan-Indian,Vegetarian,diabetic,hot,18-25,13
1,Pan-Indian,Vegetarian,heart_lowsodium,medium,36-50,70
2,Tamil Nadu,Vegetarian,general,medium,26-35,18
3,North India,Non-Vegetarian,general,hot,18-25,40
4,Pan-Indian,Vegan,general,hot,51+,13
5,Maharashtra,Vegetarian,general,hot,18-25,14
6,Goa,Eggetarian,general,medium,18-25,26
7,Pan-Indian,Non-Vegetarian,general,hot,26-35,28
8,Pan-Indian,Vegetarian,weight_loss,hot,51+,14
9,Pan-Indian,Vegetarian,heart_lowsodium,hot,26-35,5
10,North India,Eggetarian,diabetic,hot,26-35,13
11,Pan-Indian,Vegetarian,general,hot,26-35,25
12,Telangana,Vegetarian,general,medium,18-25,15
13,Punjab,Vegetarian,weight_loss,hot,36-50,21
14,Pan-Indian,Vegan,weight_loss,medium,51+,18
15,Maharashtra,Non-Vegetarian,general,medium,36-50,5
16,Tamil Nadu,Vegetarian,general,medium,36-50,29
17,Pan-Indian,Vegan,general,mild,51+,10
18,North India,Vegetarian,general,mild,36-50,10
19,Pan-Indian,Vegetarian,general,hot,36-50,23
20,Tamil Nadu,Non-Vegetarian,general,medium,18-25,9
21,North India,Vegan,diabetic,mild,26-35,18
22,Karnataka,Eggetarian,general,hot,51+,8
23,South India,Non-Vegetarian,general,medium,36-50,13
24,Punjab,Non-Vegetarian,diabetic,medium,51+,11
25,South India,Non-Vegetarian,general,medium,26-35,11
26,Bihar,Vegetarian,general,mild,18-25,8
27,Gujarat,Vegetarian,diabetic,medium,26-35,14
28,Karnataka,Eggetarian,weight_loss,mild,18-25,16
29,Rajasthan,Vegan,general,hot,18-25,30
30,Goa,Vegan,general,hot,26-35,10
31,South India,Non-Vegetarian,general,medium,26-35,16
32,Pan-Indian,Non-Vegetarian,general,mild,36-50,78
33,Maharashtra,Vegetarian,general,mild,26-35,20
34,Pan-Indian,Vegetarian,general,hot,18-25,21
35,Punjab,Non-Vegetarian,general,medium,36-50,21
36,West Bengal,Vegetarian,general,medium,18-25,5
37,Telangana,Eggetarian,general,medium,51+,12
38,Pan-Indian,Non-Vegetarian,general,medium,26-35,5
39,Pan-Indian,Vegetarian,weight_loss,medium,18-25,28
40,Karnataka,Vegetarian,heart_lowsodium,mild,51+,53
41,Karnataka,Vegetarian,general,hot,26-35,10
42,Pan-Indian,Non-Vegetarian,heart_lowsodium,medium,18-25,56
43,Pan-Indian,Vegan,diabetic,medium,18-25,6
44,Punjab,Vegetarian,general,medium,36-50,6
45,South India,Vegetarian,general,mild,36-50,23
