ingredient,bridge_food,form,inheritance,evidence_url,caveat,status,approved_by,note
amchur,Mango,"fruit, unripe, sun-dried, ground",with_caveat,https://en.wikipedia.org/wiki/Amchoor,target is RIPE FRESH mango: unripe acids/sugars differ and drying destroys volatiles,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
anardana,Pomegranate,"seeds/arils, dried",with_caveat,https://en.wikipedia.org/wiki/Anardana,"target is the fresh fruit; only dried seeds are used, and drying is not neutral",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
arbi,Taro,"corm, fresh",direct,https://en.wikipedia.org/wiki/Taro,"Colocasia esculenta corm - the whole vegetable, no transform",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
atta,"Common wheat, whole grain flour","grain, wholemeal flour",direct,https://en.wikipedia.org/wiki/Atta_flour,Phenol-Explorer carries this exact form,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
besan,"Chickpea, dehulled, raw","seed, dehulled, milled to flour",with_caveat,https://en.wikipedia.org/wiki/Gram_flour,milling only; the dehulled seed is the nearest form held,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
chana,Chickpea,"seed, whole or split",direct,https://en.wikipedia.org/wiki/Gram_flour,Bengal gram is the chickpea (Cicer arietinum),approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
jaggery,Sugarcane,"cane juice, boiled to a solid",with_caveat,https://en.wikipedia.org/wiki/Jaggery,target is the plant; 'Molasses' is the nearest processed analogue held - review,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
jowar,"Sorghum, whole grain","grain, whole",direct,https://en.wikipedia.org/wiki/Sorghum_bicolor,"'...Guinea corn, jowar, or milo' - Sorghum bicolor",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
khoya,Condensed milk,"whole milk, evaporated to solids",with_caveat,https://en.wikipedia.org/wiki/Khoa_(food),"khoya is UNSWEETENED; condensed milk is sweetened. DAIRY, not a plant",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
maida,"Common wheat, refined flour","grain, endosperm, refined flour",direct,https://en.wikipedia.org/wiki/Maida_(flour),Phenol-Explorer carries this exact form,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
masoor dal,"Lentils, dehulled, raw","seed, dehulled and split",direct,https://en.wikipedia.org/wiki/Lentil,masoor dal IS dehulled split lentil,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
poha,"Rice, parboiled","grain, parboiled then flattened",with_caveat,https://en.wikipedia.org/wiki/Flattened_rice,"flattening is physical only, but the target is unflattened",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
rava,"Hard wheat, semolina","durum grain, coarse-milled",direct,https://en.wikipedia.org/wiki/Semolina,"'In North India semolina is called sooji, and in South India, rava'",approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
sago,Tapioca pearl,"cassava starch, extracted and pearled",direct,https://en.wikipedia.org/wiki/Tapioca,in Indian usage sago = tapioca pearls,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
toor dal,"Pigeon pea, dehulled, raw","seed, dehulled and split",direct,https://en.wikipedia.org/wiki/Pigeon_pea,toor dal IS dehulled split pigeon pea - Phenol-Explorer carries that form,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
urad,Black Gram,"seed, dehulled and split",with_caveat,https://en.wikipedia.org/wiki/Vigna_mungo,target is the whole seed; dal is dehulled split,approved,"researcher, 2026-09-12",compound profile is inherited for lookup only; the ingredient keeps its own identity
bajra,,pearl millet (Cenchrus americanus),withdrawn,,"only the generic `Millet` is held, a different grain",no_target,,no source held carries this food under any name
ragi,,finger millet (Eleusine coracana),withdrawn,,"only the generic `Millet` is held, a different grain",no_target,,no source held carries this food under any name
